time	V(n001)
Step Information: Bias=200m  (Run: 1/4)
5.357204815287936e-002	3.114885e-002
5.367204815287936e-002	3.064922e-002
5.377204815287937e-002	3.209504e-002
5.387204815287937e-002	3.594268e-002
5.388454815287937e-002	3.519886e-002
5.390954815287936e-002	2.848625e-002
5.395954815287937e-002	1.399584e-002
5.401582576251845e-002	1.359497e-002
5.407662105394431e-002	2.289899e-002
5.413623037446549e-002	2.143160e-002
5.420210989298503e-002	1.838458e-002
5.428870810494730e-002	2.933461e-002
5.437860233221778e-002	4.457746e-002
5.447860233221778e-002	5.920255e-002
5.457860233221779e-002	7.272567e-002
5.467860233221779e-002	8.775908e-002
5.477860233221779e-002	1.065796e-001
5.487860233221779e-002	1.304112e-001
5.497860233221780e-002	1.609760e-001
5.507860233221780e-002	2.082595e-001
5.517860233221780e-002	2.830277e-001
5.519110233221780e-002	2.983067e-001
5.523485233221780e-002	3.681584e-001
5.525985233221779e-002	4.120804e-001
5.530985233221780e-002	5.317146e-001
5.539239872813051e-002	8.094939e-001
5.540228335808067e-002	8.541210e-001
5.542205261798098e-002	9.537545e-001
5.546159113778160e-002	1.125925e+000
5.551292238935781e-002	1.306107e+000
5.556984117803812e-002	1.478374e+000
5.572371222533974e-002	1.912832e+000
5.582371222533974e-002	2.186960e+000
5.602371222533975e-002	2.718803e+000
5.632371222533976e-002	3.479345e+000
5.642371222533976e-002	3.723957e+000
5.652371222533976e-002	3.967706e+000
5.662371222533977e-002	4.222359e+000
5.672371222533977e-002	4.490956e+000
5.682371222533977e-002	4.743789e+000
5.692371222533978e-002	4.925859e+000
5.701057744793225e-002	4.990186e+000
5.710110476810505e-002	4.995234e+000
5.720110476810505e-002	4.989568e+000
5.730110476810505e-002	4.985517e+000
5.740110476810505e-002	4.985107e+000
5.750110476810506e-002	4.985798e+000
5.760110476810506e-002	4.986193e+000
5.770110476810506e-002	4.986919e+000
5.780110476810507e-002	4.987288e+000
5.790110476810507e-002	4.986808e+000
5.800110476810507e-002	4.980516e+000
5.810110476810507e-002	4.964323e+000
5.811360476810507e-002	4.961174e+000
5.813860476810507e-002	4.955337e+000
5.818860476810507e-002	4.956180e+000
5.827361345593488e-002	4.982738e+000
5.828335570177530e-002	4.986570e+000
5.830284019345615e-002	4.991132e+000
5.833726332713288e-002	4.992869e+000
5.837095594340327e-002	4.993118e+000
5.842765425543212e-002	4.993075e+000
5.848427392568911e-002	4.992287e+000
5.858427392568912e-002	4.990921e+000
5.868427392568912e-002	4.989827e+000
5.878427392568912e-002	4.988840e+000
5.908427392568913e-002	4.985785e+000
5.928427392568914e-002	4.983265e+000
5.938427392568914e-002	4.981106e+000
5.948427392568914e-002	4.973114e+000
5.958427392568914e-002	4.952496e+000
5.959677392568914e-002	4.943736e+000
5.962177392568914e-002	4.902861e+000
5.967177392568914e-002	4.771006e+000
5.973174259513512e-002	4.560368e+000
5.979538703128704e-002	4.289374e+000
5.986784072310745e-002	3.940763e+000
5.987726934850053e-002	3.893076e+000
5.989612659928671e-002	3.797698e+000
5.993384110085905e-002	3.625203e+000
6.000927010400374e-002	3.343372e+000
6.008454924841758e-002	3.109742e+000
6.018454924841758e-002	2.826336e+000
6.028454924841759e-002	2.549834e+000
6.038454924841759e-002	2.278970e+000
6.048454924841759e-002	2.013711e+000
6.058454924841759e-002	1.754197e+000
6.068454924841760e-002	1.499999e+000
6.078454924841760e-002	1.241443e+000
6.088454924841760e-002	9.643866e-001
6.089704924841760e-002	9.237098e-001
6.094079924841760e-002	7.622147e-001
6.096579924841759e-002	6.705651e-001
6.101579924841760e-002	5.012048e-001
6.109846022393363e-002	2.498389e-001
6.110838465500948e-002	2.222632e-001
6.112823351716117e-002	1.714132e-001
6.116793124146457e-002	9.392645e-002
6.122155283187025e-002	4.673285e-002
6.128281113233341e-002	3.686672e-002
6.133903218522852e-002	3.734214e-002
6.143903218522852e-002	3.773325e-002
6.153903218522852e-002	3.736058e-002
6.173903218522853e-002	3.536456e-002
6.203903218522854e-002	3.193548e-002
6.213903218522854e-002	3.097552e-002
6.223903218522854e-002	3.084965e-002
6.233903218522854e-002	3.191962e-002
6.243903218522855e-002	2.664043e-002
6.253903218522855e-002	1.635075e-002
6.263903218522855e-002	1.472510e-002
6.273903218522856e-002	1.775577e-002
6.283457611557307e-002	2.654996e-002
6.293457611557307e-002	4.463572e-002
6.303457611557307e-002	5.937599e-002
6.313457611557308e-002	7.232449e-002
6.323457611557308e-002	8.757128e-002
6.333457611557308e-002	1.058779e-001
6.343457611557309e-002	1.295169e-001
6.353457611557309e-002	1.596121e-001
6.363457611557309e-002	2.056610e-001
6.373457611557309e-002	2.774287e-001
6.374707611557309e-002	2.922112e-001
6.377832611557309e-002	3.405000e-001
6.381582611557309e-002	4.043326e-001
6.386582611557308e-002	5.218094e-001
6.394945244419394e-002	8.092916e-001
6.403112582967024e-002	1.128602e+000
6.411495263723721e-002	1.418711e+000
6.419452429627255e-002	1.655039e+000
6.428268734750817e-002	1.902768e+000
6.438268734750817e-002	2.176861e+000
6.448268734750817e-002	2.445613e+000
6.478268734750818e-002	3.221261e+000
6.498268734750819e-002	3.714930e+000
6.508268734750819e-002	3.958486e+000
6.518268734750819e-002	4.212546e+000
6.528268734750820e-002	4.480906e+000
6.538268734750820e-002	4.735556e+000
6.548268734750820e-002	4.917635e+000
6.558268734750820e-002	4.988966e+000
6.567807733131066e-002	4.993020e+000
6.577807733131066e-002	4.988070e+000
6.587807733131067e-002	4.985228e+000
6.597807733131067e-002	4.985058e+000
6.607807733131067e-002	4.985841e+000
6.617807733131068e-002	4.986263e+000
6.627807733131068e-002	4.986984e+000
6.637807733131068e-002	4.987304e+000
6.647807733131068e-002	4.986304e+000
6.657807733131069e-002	4.982540e+000
6.659057733131069e-002	4.981019e+000
